投资时间,受资方,所属行业,VC阶段,投资金额,币种,投资方,
2017-12-04,果派联合,娱乐与休闲,A轮,8千万,人民币,云锋基金 / 经纬中国 / 天善资本,
2017-12-04,准信自动,网络服务,新三板定增轮,3998万,人民币,中汇金玖投资 / 复容资本,
2017-12-04,诚泰股份,电器机械及器材制造,新三板定增轮,1.1亿,人民币,深创投 / 嘉华汇金 / 昆山红土创投 / 中汇金玖投资 / 鼎泰华盈,
2017-12-01,邦德教育,学历教育,A轮,非公开,,不公开的投资者,
2017-12-01,泛阿网络,网络服务,A轮,数千万,美元,红杉中国,
2017-12-01,车享网,电子商务,B轮,10亿,人民币,中国平安 / 招商财富 / 中国太平洋,
2017-12-01,星商,B2C,B轮,数亿,人民币,四方承宇 / 盈信国富 / 海尔资本 / 九弦资本,
2017-12-01,快看漫画,动漫,D轮,1.8亿,美元,不公开的投资者 / 华人文化产业投资基金 / Coatue / 襄禾资本,
2017-12-01,康普化学,化工原料生产,新三板定增轮,1935万,人民币,百朋嘉业,
2017-12-01,君亭酒店,酒店,新三板定增轮,3810万,人民币,中城投资 / 天津中城赋比兴,
2017-12-01,飞拓无限信息,网络营销,新三板定增轮,4646万,人民币,微影时代 / 数字点睛投资 / 凯石投资,
2017-12-01,大境生态,水利/环境和公共设施管理业,新三板定增轮,4千万,人民币,重庆中以农业股权投资基金管理有限公司,
2017-12-01,全天,零售,Pre-A轮,1800万,人民币,不公开的投资者 / 中国惠农网,
2017-12-01,盛纺科技,纺织及服装,新三板定增轮,3000万,人民币,金茂资本,
2017-11-30,奇点金融,金融服务,B轮,1亿,人民币,五岳华诺创投 / 硅谷银行,
2017-11-30,图鸭科技,IT服务,天使轮,数千万,人民币,拉尔夫投资 / 中兴合创 / 华院数据,
2017-11-30,RozBuzz,无线互联网服务,A轮,数千万,人民币,小米 / 源码资本 / 顺为资本,
2017-11-29,墨云科技,IT服务,A轮,2千万,人民币,不公开的投资者 / 联想之星,
2017-11-29,钢诺新材,新材料,C轮,1.5亿,人民币,不公开的投资者 / 盈科资本,
2017-11-29,奥然生物,生物工程,B轮,3千万,人民币,科华生物,
2017-11-30,RozBuzz,无线互联网服务,A轮,数千万,人民币,小米 / 源码资本 / 顺为资本,
2017-11-29,墨云科技,IT服务,A轮,2千万,人民币,不公开的投资者 / 联想之星,
2017-11-29,钢诺新材,新材料,C轮,1.5亿,人民币,不公开的投资者 / 盈科资本,
2017-11-29,奥然生物,生物工程,B轮,3千万,人民币,科华生物,
2017-11-28,蓝天园林,林业,新三板定增轮,1.9亿,人民币,杭州揽盛 / 佳源集团 / 北京金博丰秋基金管理有限公司,
2017-11-28,四川飞亚,汽车制造,新三板定增轮,3千万,人民币,迈科投资,
2017-11-28,乔发环保,通用仪器仪表制造业,新三板定增轮,425万,人民币,京东投资,
2017-11-28,商汤科技,应用软件,B轮,15亿,人民币,阿里巴巴,
2017-11-28,阳光海天,交通运输,A轮,15亿,人民币,华平投资 / 红星美凯龙,
2017-11-28,壳九,零售,天使轮,数百万,人民币,鼎翔资本 / 水木资本,
2017-11-27,车贷贷,网络服务,A轮,6千万,人民币,不公开的投资者 / 联想之星 / 梅花天使创投 / 险峰长青,
2017-11-27,森亿智能,医疗服务,A轮,5500万,人民币,中电数融投资管理（杭州）有限公司 / 红杉中国,
2017-11-27,拍拍赚,IT服务,B轮,数千万,人民币,不公开的投资者 / 天图资本 / 金沙江创投,
2017-11-27,当代艺米,专业培训,A轮,数亿,人民币,青卓教育,
2017-11-27,调味品商界,网络服务,种子轮,1千万,人民币,餐饮老板内参,
2017-11-27,深脑链,IT服务,A轮,非公开,,小蚁区块链,
2017-11-27,蜂狂健身,文化/体育和娱乐业,Pre-A轮,数千万,人民币,梅花天使创投 / 壹号资本,
2017-11-26,金储宝,互联网金融,A轮,3千万,人民币,中国健康产业投资基金,
2017-11-24,鲸仓科技,配送及仓储,B轮,数亿,人民币,云锋基金 / 百度风投 / 金沙江创投,
2017-11-24,核桃Live,娱乐与休闲,A轮,非公开,,不公开的投资者 / 光控众恒,
2017-11-24,大白理疗,其他连锁及零售,天使轮,6百万,人民币,不公开的投资者,
2017-11-24,酷凌时代,电子设备,天使轮,数百万,人民币,昂若资本 / 卓信盈投资,
2017-11-24,青浦资产,金融信托与管理,新三板定增轮,705万,人民币,国泰君安 / 申万宏源 / 东方证券,
2017-11-23,艺妙神州,生物工程,A轮,5千万,人民币,君联资本 / 盛景网联,
2017-11-23,海天网联,其他金融,,101万,人民币,海纳天润,
2017-11-23,e代理,IT服务,B轮,非公开,,力宝 / 险峰长青 / 经纬中国 / 新光控股集团 / 中国先锋金融集团,
2017-11-23,思路迪,医药,E轮,7.6亿,人民币,不公开的投资者 / 中国国新 / 信中利资本,
2017-11-23,越山网络,其他娱乐与休闲,天使轮,数百万,人民币,英诺天使基金,
2017-11-22,重力聿画,动漫,天使轮,数百万,人民币,青锐创投 / 华盖资本,
2017-11-22,小猪加油,其他无线互联网服务,天使轮,非公开,,天使投资人,
2017-11-22,鲁班药业,化学药品制剂制造业,新三板定增轮,3760万,人民币,湖北高投 / 高正创投 / 博润投资,
2017-11-22,十字星,动漫,Pre-A轮,数百万,人民币,腾讯投资,
2017-11-22,童星汇,网络服务,Pre-A轮,数千万,人民币,不公开的投资者 / 创东方,
2017-11-22,云尚电,电子设备,天使轮,1800万,人民币,沃特沃德,
2017-11-22,异乡好居网络,房地产中介服务,B轮,1400万,美元,不公开的投资者 / 新东方 / Translink资本,
2017-11-21,爱酷游,网络游戏,B轮,1150万,人民币,电魂创投,
2017-11-21,高信股份,软件,新三板定增轮,6400万,人民币,国投金融控股,
2017-11-21,寰球体育,零售,,1.2亿,人民币,深圳市聚海盛世资产管理有限公司,
2017-11-21,云摄影,硬件,A轮,数亿,人民币,东方富海 / 峰瑞资本 / 磐石资本 / 富坤创投 / 青松基金,
2017-11-20,帝基生物,生物工程,B轮,3亿,人民币,全康医疗 / FFC,
2017-11-20,云从科技,其他软件,B轮,5亿,人民币,不公开的投资者 / 佳都科技 / 普华资本 / 杰翱基金 / 越秀产业基金,
2017-11-20,任意柜,网络服务,种子轮,数百万,人民币,不公开的投资者,
2017-11-20,睿玺定制,软件,A轮,6千万,人民币,元禾原点,
2017-11-20,康品汇,电子商务,A轮,非公开,,龙珠资本 / 竞技世界,
2017-11-19,瑞鹏宠物医院,医疗服务,A轮,2.5亿,人民币,融汇资本,
2017-11-17,医链科技,IT服务,Pre-A轮,1500万,人民币,天亿投资,
2017-11-17,合兴包装,包装,上市定增轮,5.5亿,人民币,中信证券,
2017-11-17,库贝尔,专用仪器仪表制造业,C轮,非公开,,库贝尔众成,
2017-11-17,民祥医药,医药,新三板定增轮,6300万,人民币,中钰创投 / 新鼎荣盛 / 兴富投资 / 景林资产,
2017-11-17,编程猫,教育与培训,B轮,1.2亿,人民币,清流资本 / 高瓴资本,
2017-11-17,享换机,其他,A轮,1.1亿,人民币,华盖创投 / 清星资本,
2017-11-17,捌捌玖玖智能科技,IT服务,天使轮,1百万,人民币,光谷人才投资,
2017-11-16,弘驰智能,其他电子产品,天使轮,3千万,人民币,不公开的投资者 / 启赋资本 / 光速中国创业投资基金,
2017-11-16,吾立方,动漫,A轮,数千万,人民币,上海盛万 / 天神互动,
2017-11-16,同予科技,其他无线互联网服务,天使轮,非公开,,险峰长青,
2017-11-15,食得鲜,配送及仓储,B轮,数千万,人民币,天图资本,
2017-11-15,知因盒子,医疗服务,A轮,数千万,人民币,不公开的投资者,
2017-11-15,云选商城,网络社区,Pre-A轮,数千万,人民币,不公开的投资者,
2017-11-15,鸡王食品,餐饮,天使轮,数百万,人民币,不公开的投资者 / IDG资本,
2017-11-15,脉脉,手机SNS,C轮,7500万,美元,DCM资本 / 晨兴资本 / 智联招聘 / IDG资本,
2017-11-15,新核云,咨询,A轮,3百万,美元,北极光,
2017-11-15,星洞瑧品,电子商务,天使轮,1500万,人民币,不公开的投资者 / 青山资本,
2017-11-15,小骑手,其他无线互联网服务,Pre-A轮,数千万,人民币,不公开的投资者 / 东方富海 / 红秀资本,
2017-11-15,夜听,无线广播电视传输服务,A轮,非公开,,真格基金 / 不惑创投,
